episode,reward,steps,cum_steps,avg5,ep_time_sec
1,-19.0,1179,1179,-19.0,6.0202317237854
2,-20.0,977,2156,-19.5,23.27335023880005
3,-21.0,819,2975,-20.0,18.529050588607788
4,-21.0,844,3819,-20.25,19.558932065963745
5,-20.0,999,4818,-20.2,23.29928731918335
6,-18.0,1162,5980,-20.0,27.279439449310303
7,-21.0,823,6803,-20.2,18.97658371925354
8,-18.0,1054,7857,-19.6,24.477850198745728
9,-19.0,1099,8956,-19.2,25.684109210968018
10,-20.0,948,9904,-19.2,22.067138195037842
11,-21.0,883,10787,-19.8,20.633471965789795
12,-21.0,763,11550,-19.8,18.20303225517273
13,-21.0,763,12313,-20.4,18.230690479278564
14,-20.0,842,13155,-20.6,19.669384956359863
15,-20.0,959,14114,-20.6,22.471299409866333
16,-21.0,851,14965,-20.6,20.600576639175415
17,-21.0,870,15835,-20.6,20.4953293800354
18,-21.0,871,16706,-20.6,20.619043350219727
19,-21.0,851,17557,-20.8,20.167961835861206
20,-21.0,944,18501,-21.0,22.44643759727478
21,-21.0,1019,19520,-21.0,24.603331565856934
22,-20.0,1027,20547,-20.8,24.951706409454346
23,-20.0,842,21389,-20.6,21.574429512023926
24,-21.0,823,22212,-20.6,19.975528240203857
25,-21.0,898,23110,-20.6,22.038209438323975
26,-21.0,1035,24145,-20.6,25.420432806015015
27,-21.0,791,24936,-20.8,19.753310203552246
28,-20.0,962,25898,-20.8,23.64919090270996
29,-21.0,883,26781,-20.8,22.413666248321533
30,-21.0,763,27544,-20.8,18.78064203262329
31,-21.0,1021,28565,-20.8,25.66187286376953
32,-21.0,823,29388,-20.8,21.21650004386902
33,-21.0,819,30207,-21.0,20.733784437179565
34,-18.0,1058,31265,-20.4,26.57206082344055
35,-20.0,841,32106,-20.2,21.389622449874878
36,-20.0,875,32981,-20.0,22.05048894882202
37,-21.0,782,33763,-20.0,19.707286596298218
38,-21.0,823,34586,-20.0,21.14739179611206
39,-20.0,902,35488,-20.4,25.280725240707397
40,-21.0,880,36368,-20.6,22.701463222503662
41,-19.0,1082,37450,-20.4,28.3824303150177
42,-21.0,927,38377,-20.4,24.304612398147583
43,-20.0,982,39359,-20.2,25.345228672027588
44,-21.0,763,40122,-20.4,19.997663736343384
45,-18.0,1163,41285,-19.8,30.395035982131958
46,-20.0,866,42151,-20.0,24.11865234375
47,-21.0,825,42976,-20.0,22.035707473754883
48,-20.0,897,43873,-20.0,23.9337420463562
49,-21.0,900,44773,-20.0,25.24474549293518
50,-21.0,881,45654,-20.6,24.351436614990234
51,-21.0,839,46493,-20.8,22.6817946434021
52,-19.0,1041,47534,-20.4,28.652024745941162
53,-18.0,1056,48590,-20.0,28.550047397613525
54,-20.0,918,49508,-19.8,25.64166784286499
55,-21.0,823,50331,-19.8,22.49548029899597
56,-20.0,947,51278,-19.6,25.399078130722046
57,-20.0,943,52221,-19.8,25.34371304512024
58,-21.0,763,52984,-20.4,23.600421905517578
59,-21.0,869,53853,-20.6,25.945253610610962
60,-20.0,994,54847,-20.4,27.06192970275879
61,-20.0,975,55822,-20.4,26.668731689453125
62,-21.0,911,56733,-20.6,25.147438526153564
63,-21.0,763,57496,-20.6,21.07693648338318
64,-21.0,1001,58497,-20.6,28.517009496688843
65,-21.0,763,59260,-20.8,22.691019773483276
66,-21.0,763,60023,-21.0,21.517834663391113
67,-20.0,1020,61043,-20.8,28.994532346725464
68,-21.0,763,61806,-20.8,21.647114276885986
69,-20.0,1084,62890,-20.6,31.598503589630127
70,-21.0,763,63653,-20.6,22.25794816017151
71,-21.0,791,64444,-20.6,23.147183418273926
72,-20.0,1005,65449,-20.6,32.19944882392883
73,-20.0,1008,66457,-20.4,32.101807594299316
74,-20.0,993,67450,-20.4,33.83760452270508
75,-21.0,853,68303,-20.4,26.33249068260193
76,-21.0,913,69216,-20.4,28.11953902244568
77,-17.0,1199,70415,-19.8,37.433582067489624
78,-19.0,996,71411,-19.6,32.43471002578735
79,-21.0,782,72193,-19.8,24.220379114151
80,-21.0,843,73036,-19.8,26.23653793334961
81,-20.0,841,73877,-19.6,26.763273000717163
82,-21.0,763,74640,-20.4,24.00871205329895
83,-19.0,1086,75726,-20.4,34.75596213340759
84,-20.0,995,76721,-20.2,32.50720238685608
85,-21.0,820,77541,-20.2,27.438584327697754
86,-21.0,825,78366,-20.4,28.12765860557556
87,-20.0,978,79344,-20.2,33.16625452041626
88,-20.0,1083,80427,-20.4,36.63102412223816
89,-21.0,763,81190,-20.6,25.394615650177002
90,-20.0,994,82184,-20.4,33.06074333190918
91,-21.0,851,83035,-20.4,28.563419818878174
92,-21.0,792,83827,-20.6,26.77970600128174
93,-20.0,983,84810,-20.6,32.767192363739014
94,-20.0,899,85709,-20.4,30.120686769485474
95,-19.0,1076,86785,-20.2,37.22257661819458
96,-20.0,1101,87886,-20.0,37.75749635696411
97,-20.0,926,88812,-19.8,31.20206093788147
98,-21.0,763,89575,-20.0,25.997876167297363
99,-20.0,897,90472,-20.0,32.132657289505005
100,-20.0,978,91450,-20.2,34.64594340324402
