episode,reward,steps,cum_steps,avg5,ep_time_sec
1,-18.0,1185,1185,-18.0,6.771413803100586
2,-20.0,1093,2278,-19.0,34.837268590927124
3,-20.0,1126,3404,-19.333333333333332,34.47535538673401
4,-21.0,763,4167,-19.75,25.582946300506592
5,-21.0,791,4958,-20.0,25.43018412590027
6,-21.0,871,5829,-20.6,27.07449173927307
7,-19.0,1028,6857,-20.4,32.12336254119873
8,-21.0,782,7639,-20.6,25.83130121231079
9,-20.0,1066,8705,-20.4,34.6334023475647
10,-21.0,851,9556,-20.4,27.718350887298584
11,-21.0,883,10439,-20.4,28.17983913421631
12,-20.0,916,11355,-20.6,29.093294620513916
13,-20.0,948,12303,-20.4,30.38025212287903
14,-21.0,763,13066,-20.6,23.880693674087524
15,-20.0,837,13903,-20.4,26.475568532943726
16,-18.0,1301,15204,-19.8,50.28233480453491
17,-21.0,823,16027,-20.0,29.531824350357056
18,-20.0,929,16956,-20.0,30.204775094985962
19,-21.0,791,17747,-20.0,24.66275668144226
20,-21.0,853,18600,-20.2,29.26465392112732
21,-20.0,899,19499,-20.6,30.93071174621582
22,-21.0,763,20262,-20.6,24.38280487060547
23,-20.0,949,21211,-20.6,31.93750548362732
24,-20.0,1131,22342,-20.4,35.76933741569519
25,-20.0,1059,23401,-20.2,34.12017893791199
26,-21.0,810,24211,-20.4,25.87153673171997
27,-20.0,898,25109,-20.2,28.78034996986389
28,-20.0,1075,26184,-20.2,34.47426962852478
29,-20.0,1055,27239,-20.2,35.132928133010864
30,-21.0,763,28002,-20.4,24.661518573760986
31,-20.0,1087,29089,-20.2,35.18242049217224
32,-21.0,886,29975,-20.4,27.99822235107422
33,-21.0,881,30856,-20.6,27.767897844314575
34,-20.0,972,31828,-20.6,30.825589656829834
35,-21.0,763,32591,-20.6,25.618767976760864
36,-21.0,911,33502,-20.8,30.519765377044678
37,-21.0,763,34265,-20.8,24.798179626464844
38,-21.0,823,35088,-20.8,26.62200427055359
39,-21.0,1081,36169,-21.0,34.90764904022217
40,-20.0,926,37095,-20.8,31.501428604125977
41,-20.0,978,38073,-20.6,31.247999906539917
42,-20.0,908,38981,-20.4,28.74515724182129
43,-20.0,870,39851,-20.2,27.531675100326538
44,-21.0,853,40704,-20.2,27.20876145362854
45,-18.0,1255,41959,-19.8,38.366381883621216
46,-19.0,1054,43013,-19.6,32.6102569103241
47,-21.0,838,43851,-19.8,27.253098249435425
48,-19.0,1115,44966,-19.6,36.86185336112976
49,-21.0,791,45757,-19.6,25.83428955078125
50,-20.0,951,46708,-20.0,29.91540217399597
51,-21.0,791,47499,-20.4,25.25906252861023
52,-21.0,851,48350,-20.4,26.79395318031311
53,-21.0,885,49235,-20.8,28.287620782852173
54,-21.0,989,50224,-20.8,31.636646032333374
55,-21.0,898,51122,-21.0,28.81572461128235
56,-20.0,1043,52165,-20.8,34.23639512062073
57,-21.0,1031,53196,-20.8,33.522605180740356
58,-19.0,1033,54229,-20.4,33.688230991363525
59,-20.0,865,55094,-20.2,27.774267196655273
60,-20.0,902,55996,-20.0,29.019591569900513
61,-21.0,763,56759,-20.2,24.737184524536133
62,-19.0,1009,57768,-19.8,32.50534701347351
63,-21.0,763,58531,-20.2,26.340655088424683
64,-20.0,1085,59616,-20.2,35.5414617061615
65,-21.0,883,60499,-20.4,28.7839093208313
66,-21.0,763,61262,-20.4,24.602176904678345
67,-21.0,763,62025,-20.8,24.752796173095703
68,-21.0,791,62816,-20.8,25.49737048149109
69,-18.0,1088,63904,-20.4,35.21063733100891
70,-20.0,945,64849,-20.2,30.887104749679565
71,-20.0,929,65778,-20.0,30.939761638641357
72,-19.0,977,66755,-19.6,32.62516665458679
73,-19.0,1021,67776,-19.2,35.76542520523071
74,-21.0,871,68647,-19.8,30.981786489486694
75,-21.0,823,69470,-20.0,27.640438556671143
76,-21.0,842,70312,-20.2,28.73075222969055
77,-21.0,911,71223,-20.6,30.160078048706055
78,-19.0,1037,72260,-20.6,34.272977113723755
79,-20.0,916,73176,-20.4,30.410773038864136
80,-20.0,904,74080,-20.2,30.89517307281494
81,-21.0,1004,75084,-20.2,35.8770797252655
82,-19.0,1097,76181,-19.8,37.285929441452026
83,-21.0,810,76991,-20.2,27.93543314933777
84,-19.0,1053,78044,-20.0,35.514315366744995
85,-19.0,997,79041,-19.8,33.87553906440735
86,-21.0,869,79910,-19.8,29.5178804397583
87,-20.0,1224,81134,-20.0,41.64296627044678
88,-20.0,837,81971,-19.8,29.5164737701416
89,-21.0,870,82841,-20.2,30.66730785369873
90,-21.0,911,83752,-20.6,31.954015970230103
91,-20.0,1070,84822,-20.4,36.82231044769287
92,-20.0,1026,85848,-20.4,35.334590673446655
93,-19.0,1035,86883,-20.2,37.895951986312866
94,-21.0,820,87703,-20.2,28.71585249900818
95,-21.0,843,88546,-20.2,28.452621459960938
96,-17.0,1130,89676,-19.6,38.02622842788696
97,-21.0,1027,90703,-19.8,34.72279405593872
98,-17.0,1286,91989,-19.4,43.77129316329956
99,-20.0,926,92915,-19.2,31.371458292007446
100,-19.0,1112,94027,-18.8,37.33867573738098
