episode,reward,steps,cum_steps,avg5,ep_time_sec
1,-19.0,1179,1179,-19.0,7.49798846244812
2,-20.0,977,2156,-19.5,25.020278453826904
3,-21.0,819,2975,-20.0,18.91276478767395
4,-21.0,844,3819,-20.25,20.15078854560852
5,-20.0,999,4818,-20.2,24.607903003692627
6,-18.0,1162,5980,-20.0,26.842360734939575
7,-21.0,823,6803,-20.2,19.53137707710266
8,-21.0,844,7647,-20.2,22.93366551399231
9,-20.0,962,8609,-20.0,24.758514642715454
10,-19.0,972,9581,-19.8,24.295536041259766
11,-21.0,852,10433,-20.4,20.904388427734375
12,-21.0,763,11196,-20.4,19.311691999435425
13,-21.0,791,11987,-20.4,19.11679720878601
14,-20.0,888,12875,-20.4,21.67590570449829
15,-19.0,1130,14005,-20.4,30.10752534866333
16,-18.0,1179,15184,-19.8,29.20267653465271
17,-19.0,964,16148,-19.4,24.039562225341797
18,-21.0,870,17018,-19.4,21.88163661956787
19,-21.0,911,17929,-19.6,22.852962732315063
20,-20.0,866,18795,-19.8,23.487905502319336
21,-20.0,985,19780,-20.2,25.48004961013794
22,-20.0,886,20666,-20.4,23.184884309768677
23,-21.0,791,21457,-20.4,21.32852268218994
24,-21.0,825,22282,-20.4,20.979700088500977
25,-20.0,877,23159,-20.4,23.22016215324402
26,-21.0,763,23922,-20.6,18.868446826934814
27,-20.0,869,24791,-20.6,21.16773772239685
28,-21.0,791,25582,-20.6,20.08306574821472
29,-19.0,1056,26638,-20.2,25.91687822341919
30,-21.0,944,27582,-20.4,23.56645154953003
31,-17.0,1211,28793,-19.6,30.403103828430176
32,-21.0,853,29646,-19.8,21.11607527732849
33,-21.0,810,30456,-19.8,21.48861789703369
34,-20.0,935,31391,-20.0,26.728283882141113
35,-21.0,1033,32424,-20.0,28.24735403060913
36,-21.0,851,33275,-20.8,22.380322694778442
37,-21.0,851,34126,-20.8,22.44342851638794
38,-21.0,791,34917,-20.8,32.78215789794922
39,-21.0,763,35680,-21.0,23.131572246551514
40,-20.0,1018,36698,-20.8,27.632562398910522
41,-20.0,902,37600,-20.6,24.04181146621704
42,-21.0,931,38531,-20.6,26.157514572143555
43,-21.0,885,39416,-20.6,23.399956941604614
44,-19.0,1005,40421,-20.2,26.13912606239319
45,-18.0,1212,41633,-19.8,33.52961277961731
46,-21.0,911,42544,-20.0,24.27587056159973
47,-19.0,1083,43627,-19.6,30.192145109176636
